source_id,target_id,rtt,gcl,throughput
A,C,29.001302531649213,29.001302531649213,0.2139184952978058
A,D,18.41681734258378,18.41681734258378,0.12025078369905963
A,G,29.001302531649234,29.001302531649234,0.38771159874608147
B,C,22.793537400166592,22.793537400166592,0.12000000000000008
B,D,29.19424160265727,29.19424160265727,0.026332288401253928
C,D,18.41681734258378,18.41681734258378,0.026332288401253928
E,F,22.793537400166592,22.793537400166592,0.0833855799373041
E,G,29.001302531649234,29.001302531649234,0.08075235109717871
E,H,18.41681734258378,18.41681734258378,0.026332288401253928
F,G,22.793537400166592,22.793537400166592,0.2876489028213166
F,H,29.19424160265727,29.19424160265727,0.08338557993730411
F,L,119.0941971445674,119.0941971445674,0.4
G,H,18.41681734258378,18.41681734258378,0.08075235109717871
I,J,8.844096599470607,8.844096599470607,0.026332288401253928
I,K,14.299388425775085,14.299388425775085,0.026332288401253928
I,L,11.846037358836027,11.846037358836027,0.11899686520376179
J,K,8.844096599470607,8.844096599470607,0.026332288401253928
J,L,14.681684724843112,14.681684724843112,0.11899686520376179
K,L,11.846037358836027,11.846037358836027,0.11899686520376179
