source_id,target_id,rtt,gcl,throughput
A,B,22.793537400166592,22.793537400166592,0.13333333333333333
A,C,29.001302531649213,29.001302531649213,0.13333333333333333
A,D,18.41681734258378,18.41681734258378,0.13333333333333333
A,G,29.001302531649234,29.001302531649234,0.39999999999999997
B,C,22.793537400166592,22.793537400166592,0.042105263157894736
B,D,29.19424160265727,29.19424160265727,0.042105263157894736
C,D,18.41681734258378,18.41681734258378,0.042105263157894736
E,F,22.793537400166592,22.793537400166592,0.042105263157894736
E,G,29.001302531649234,29.001302531649234,0.13333333333333333
E,H,18.41681734258378,18.41681734258378,0.042105263157894736
F,G,22.793537400166592,22.793537400166592,0.13333333333333333
F,H,29.19424160265727,29.19424160265727,0.042105263157894736
G,H,18.41681734258378,18.41681734258378,0.13333333333333333
I,J,8.844096599470607,8.844096599470607,0.042105263157894736
I,K,14.299388425775085,14.299388425775085,0.042105263157894736
I,L,11.846037358836027,11.846037358836027,0.042105263157894736
J,K,8.844096599470607,8.844096599470607,0.042105263157894736
J,L,14.681684724843112,14.681684724843112,0.042105263157894736
K,L,11.846037358836027,11.846037358836027,0.042105263157894736
