source_id,target_id,rtt,gcl,throughput
A,B,22.793537400166592,22.793537400166592,0.04210526315789473
A,C,29.001302531649213,29.001302531649213,0.04210526315789473
A,D,18.41681734258378,18.41681734258378,0.04210526315789473
B,C,22.793537400166592,22.793537400166592,0.04210526315789473
B,D,29.19424160265727,29.19424160265727,0.04210526315789473
C,D,18.41681734258378,18.41681734258378,0.04210526315789473
E,F,22.793537400166592,22.793537400166592,0.1333333333333333
E,G,29.001302531649234,29.001302531649234,0.04210526315789473
E,H,18.41681734258378,18.41681734258378,0.04210526315789473
F,G,22.793537400166592,22.793537400166592,0.1333333333333333
F,H,29.19424160265727,29.19424160265727,0.1333333333333333
F,L,119.0941971445674,119.0941971445674,0.4
G,H,18.41681734258378,18.41681734258378,0.04210526315789473
I,J,8.844096599470607,8.844096599470607,0.04210526315789473
I,K,14.299388425775085,14.299388425775085,0.04210526315789473
I,L,11.846037358836027,11.846037358836027,0.1333333333333333
J,K,8.844096599470607,8.844096599470607,0.04210526315789473
J,L,14.681684724843112,14.681684724843112,0.1333333333333333
K,L,11.846037358836027,11.846037358836027,0.1333333333333333
